Situation;Nivel;Number;Imports;Changed_files;Changes;Deletion;Aditions;Size_body;Create_date;Closed_date;Merge_date;Diff_MergeLastModify;Diff_CreateNow;PR_comments;PR_size_comments;Review_comments;Review_size_comments;Issue_comments;Issue_size_comments;Qtd_labels_pr;Qtd_labels_issue;Commits
Closed;Difficult;15329;0;7;106;21;85;211;2020-06-12 08:54:28;2020-06-15 17:54:01;;;537 days 11:23:01.936961;8;956;8;956;7;9580;5;0;2
Closed;Difficult;15248;0;5;100;33;67;243;2020-06-07 12:07:44;2020-06-08 14:59:53;;;542 days 08:09:48.367346;4;750;5;750;3;633;5;0;2
Closed;Difficult;15065;0;5;108;16;92;1554;2020-05-22 16:11:30;2020-06-16 18:15:17;;;558 days 04:06:06.985755;14;6289;24;6289;13;5229;5;5;2
Closed;Difficult;15065;0;5;108;16;92;1554;2020-05-22 16:11:30;2020-06-16 18:15:17;;;558 days 04:06:11.069975;14;6289;24;6289;13;5229;5;5;2
Closed;Difficult;15058;0;2;23;4;19;18;2020-05-21 15:07:38;2020-06-16 13:17:05;;;559 days 05:10:05.413556;3;0;0;0;3;240;1;4;1
Closed;Difficult;14979;0;3;36;21;15;732;2020-05-14 17:24:32;2020-05-15 06:23:39;2020-05-15 06:23:38;565 days 12:07:48;566 days 02:53:13.898941;1;0;0;0;1;114;1;3;1
Closed;Difficult;14802;0;1;20;0;20;1014;2020-04-30 00:58:55;2020-04-30 06:11:54;2020-04-30 06:11:53;580 days 12:19:33;580 days 19:18:53.058536;0;0;0;0;0;0;1;3;1
Closed;Difficult;14538;0;2;13;4;9;157;2020-04-10 14:35:41;2020-04-21 20:49:36;2020-04-21 20:49:36;589 days 02:15:27;600 days 05:42:10.337958;7;1939;13;1939;6;1020;3;0;1
Closed;Difficult;14244;0;3;63;25;38;936;2020-03-19 03:36:00;2020-04-05 20:19:46;;;622 days 16:41:53.800156;10;383;1;383;9;4245;5;6;8
Closed;Difficult;14244;0;3;63;25;38;936;2020-03-19 03:36:00;2020-04-05 20:19:46;;;622 days 16:41:56.089918;10;383;1;383;9;4245;5;6;8
